Code,Product Name
3,Health and beauty
0,Electronic accessories
4,Home and lifestyle
3,Health and beauty
5,Sports and travel
0,Electronic accessories
0,Electronic accessories
4,Home and lifestyle
3,Health and beauty
2,Food and beverages
1,Fashion accessories
0,Electronic accessories
0,Electronic accessories
2,Food and beverages
3,Health and beauty
5,Sports and travel
3,Health and beauty
5,Sports and travel
2,Food and beverages
4,Home and lifestyle
0,Electronic accessories
3,Health and beauty
4,Home and lifestyle
0,Electronic accessories
5,Sports and travel
4,Home and lifestyle
1,Fashion accessories
1,Fashion accessories
2,Food and beverages
3,Health and beauty
1,Fashion accessories
5,Sports and travel
5,Sports and travel
3,Health and beauty
2,Food and beverages
5,Sports and travel
5,Sports and travel
0,Electronic accessories
3,Health and beauty
4,Home and lifestyle
4,Home and lifestyle
4,Home and lifestyle
5,Sports and travel
2,Food and beverages
3,Health and beauty
0,Electronic accessories
3,Health and beauty
2,Food and beverages
0,Electronic accessories
1,Fashion accessories
2,Food and beverages
2,Food and beverages
1,Fashion accessories
1,Fashion accessories
4,Home and lifestyle
0,Electronic accessories
4,Home and lifestyle
3,Health and beauty
4,Home and lifestyle
0,Electronic accessories
5,Sports and travel
4,Home and lifestyle
5,Sports and travel
5,Sports and travel
3,Health and beauty
3,Health and beauty
3,Health and beauty
1,Fashion accessories
5,Sports and travel
3,Health and beauty
2,Food and beverages
1,Fashion accessories
2,Food and beverages
0,Electronic accessories
4,Home and lifestyle
0,Electronic accessories
1,Fashion accessories
1,Fashion accessories
2,Food and beverages
3,Health and beauty
3,Health and beauty
2,Food and beverages
2,Food and beverages
2,Food and beverages
5,Sports and travel
5,Sports and travel
1,Fashion accessories
2,Food and beverages
5,Sports and travel
3,Health and beauty
4,Home and lifestyle
5,Sports and travel
5,Sports and travel
3,Health and beauty
3,Health and beauty
0,Electronic accessories
3,Health and beauty
0,Electronic accessories
2,Food and beverages
4,Home and lifestyle
1,Fashion accessories
1,Fashion accessories
0,Electronic accessories
2,Food and beverages
3,Health and beauty
0,Electronic accessories
1,Fashion accessories
5,Sports and travel
2,Food and beverages
0,Electronic accessories
5,Sports and travel
3,Health and beauty
1,Fashion accessories
